Model,modpdf,DOPE score,GA341 score
query.B99990001.pdb,6726.43164,-59852.73047,0.80502
query.B99990002.pdb,6402.92041,-60647.62891,0.54304
query.B99990003.pdb,6647.59521,-59928.94531,0.33556
query.B99990004.pdb,6772.57861,-60302.44141,0.37312
query.B99990005.pdb,7250.41943,-60367.08594,0.41469
query.B99990006.pdb,6634.29248,-59203.17578,0.31963
query.B99990007.pdb,7140.27344,-60528.96484,0.32280
query.B99990008.pdb,6656.44141,-60709.37891,0.41567
query.B99990009.pdb,6808.46924,-60108.73438,0.39036
query.B99990010.pdb,6794.01270,-60661.92578,0.30190
query.B99990011.pdb,6747.02148,-61041.19141,0.32696
query.B99990012.pdb,6727.06592,-59722.38281,0.75790
query.B99990013.pdb,6902.30566,-61188.06641,0.49983
query.B99990014.pdb,6801.38428,-61057.04297,0.38602
query.B99990015.pdb,6960.87793,-60593.07422,0.26183
query.B99990016.pdb,6769.37939,-60020.79688,0.41094
query.B99990017.pdb,6625.76367,-60836.85547,0.37241
query.B99990018.pdb,6594.09961,-60196.17969,0.34928
query.B99990019.pdb,6603.71826,-61448.68750,0.48160
query.B99990020.pdb,6611.23438,-61420.69922,0.54189
query.B99990021.pdb,6756.81104,-59471.89063,0.35133
query.B99990022.pdb,6606.70752,-59870.75000,0.37797
query.B99990023.pdb,6674.98730,-60620.52344,0.27601
query.B99990024.pdb,6605.13672,-60814.39063,0.43593
query.B99990025.pdb,6696.64600,-61001.62109,0.37798
query.B99990026.pdb,6636.28076,-59843.29688,0.60876
query.B99990027.pdb,6488.59180,-60904.68359,0.46778
query.B99990028.pdb,6591.01074,-60442.59375,0.29198
query.B99990029.pdb,6847.01074,-60742.12109,0.45817
query.B99990030.pdb,6613.93408,-60740.41406,0.36049
query.B99990031.pdb,6899.44092,-61061.67188,0.39596
query.B99990032.pdb,6719.80420,-59715.56641,0.43941
query.B99990033.pdb,6699.11182,-60450.07422,0.50895
query.B99990034.pdb,6897.28418,-60233.35156,0.32221
query.B99990035.pdb,7005.21875,-60191.73438,0.51467
query.B99990036.pdb,6720.45996,-61522.49219,0.48479
query.B99990037.pdb,6810.36279,-59964.12109,0.57277
query.B99990038.pdb,6719.14014,-60256.05859,0.41166
query.B99990039.pdb,6751.88281,-60093.01172,0.34207
query.B99990040.pdb,6503.88623,-60265.60156,0.36480
query.B99990041.pdb,6572.61230,-59461.61719,0.54920
query.B99990042.pdb,6627.19922,-60579.51172,0.45082
query.B99990043.pdb,6792.23535,-60538.67578,0.28375
query.B99990044.pdb,6766.10303,-59962.60547,0.43724
query.B99990045.pdb,6624.97803,-60950.42969,0.39024
query.B99990046.pdb,6659.14209,-60797.04297,0.40427
query.B99990047.pdb,6502.09961,-61035.20313,0.63148
query.B99990048.pdb,6711.40234,-60715.62500,0.53049
query.B99990049.pdb,6733.10303,-61551.42578,0.49451
query.B99990050.pdb,6780.20557,-60077.51172,0.47778
query.B99990051.pdb,6470.98486,-61259.42578,0.33244
query.B99990052.pdb,6912.54932,-61881.06641,0.41424
query.B99990053.pdb,6924.57373,-59847.92969,0.33399
query.B99990054.pdb,6745.55469,-60787.30469,0.52443
query.B99990055.pdb,6573.78955,-60396.60547,0.40720
query.B99990056.pdb,6563.43506,-60341.08984,0.36369
query.B99990057.pdb,6552.24463,-61410.96484,0.41110
query.B99990058.pdb,7015.10693,-60608.13672,0.53108
query.B99990059.pdb,6757.90039,-60654.13672,0.67415
query.B99990060.pdb,6632.10107,-60824.53906,0.72144
query.B99990061.pdb,6758.78711,-60458.05469,0.50745
query.B99990062.pdb,6567.35059,-61016.49219,0.41787
query.B99990063.pdb,6880.46826,-60387.34375,0.40904
query.B99990064.pdb,6973.20361,-61431.02734,0.40522
query.B99990065.pdb,6868.95264,-60612.31641,0.63831
query.B99990066.pdb,6522.58203,-60019.27734,0.49432
query.B99990067.pdb,6960.96143,-59922.62109,0.63852
query.B99990068.pdb,6738.69971,-60746.30078,0.45780
query.B99990069.pdb,6712.00879,-61373.57813,0.54964
query.B99990070.pdb,7039.55029,-60886.51172,0.33401
query.B99990071.pdb,6773.49316,-59978.27344,0.36653
query.B99990072.pdb,6609.62939,-60360.18750,0.60344
query.B99990073.pdb,6935.08105,-59769.82422,0.37350
query.B99990074.pdb,6713.42725,-60755.24219,0.54592
query.B99990075.pdb,6399.31934,-59669.84766,0.43877
query.B99990076.pdb,6835.79883,-59892.23438,0.61910
query.B99990077.pdb,6833.56836,-59953.89063,0.52934
query.B99990078.pdb,6577.71094,-60736.67578,0.61463
query.B99990079.pdb,6747.03418,-60797.16016,0.47600
query.B99990080.pdb,6670.58301,-60154.47266,0.30113
query.B99990081.pdb,6654.98340,-60174.76563,0.45761
query.B99990082.pdb,6738.81934,-60951.73828,0.54566
query.B99990083.pdb,6639.62402,-60562.03516,0.39792
query.B99990084.pdb,6701.03467,-60274.19922,0.40383
query.B99990085.pdb,6463.44824,-60413.78516,0.48658
query.B99990086.pdb,6671.56201,-60364.89063,0.60687
query.B99990087.pdb,6583.45166,-61136.23828,0.46520
query.B99990088.pdb,6673.70557,-60806.26172,0.46487
query.B99990089.pdb,6575.13330,-60186.44922,0.41578
query.B99990090.pdb,6709.64307,-60269.93359,0.45562
query.B99990091.pdb,6963.36475,-61212.23047,0.42893
query.B99990092.pdb,6926.63184,-59930.87109,0.43553
query.B99990093.pdb,6692.45508,-59943.59766,0.30711
query.B99990094.pdb,6530.46777,-60264.79297,0.75691
query.B99990095.pdb,6809.22510,-59940.87500,0.38067
query.B99990096.pdb,6720.18945,-60644.51172,0.50936
query.B99990097.pdb,6628.50244,-60906.58203,0.55448
query.B99990098.pdb,6630.92871,-60451.90234,0.33460
query.B99990099.pdb,6519.94336,-60644.89844,0.51815
query.B99990100.pdb,6656.92285,-59994.68750,0.45437
